fornecedor,cnpj,items,valor_total,filename
Tech Solutions Ltda,12.345.678/0001-90,"[{'descricao': 'Notebook Dell Inspiron 15', 'quantidade': 5, 'valor': 19499.95}, {'descricao': 'Mouse sem fio Logitech M280', 'quantidade': 10, 'valor': 899.0}, {'descricao': 'Teclado mecânico Redragon Kumara', 'quantidade': 8, 'valor': 1992.0}, {'descricao': 'Monitor LG 24 polegadas Full HD', 'quantidade': 5, 'valor': 4495.0}, {'descricao': 'Cabo HDMI 2.0 1,8m', 'quantidade': 15, 'valor': 448.5}]",25791.45,001_rljd.pdf
Móveis Escritório Confort,66.777.888/0001-99,"[{'descricao': 'Cadeira presidente ergonômica', 'quantidade': 5, 'valor': 6450.0}, {'descricao': 'Mesa escritório 1,50m c/ gavetas', 'quantidade': 5, 'valor': 4250.0}, {'descricao': 'Armário alto 2 portas', 'quantidade': 3, 'valor': 2160.0}, {'descricao': 'Gaveteiro volante 3 gavetas', 'quantidade': 5, 'valor': 1900.0}]",14760.0,002_wyfi.pdf
Restaurante e Buffet Sabores do Brasil Ltda,78901234000156,"[{'descricao': 'Serviço de buffet completo p/ 100 pessoas', 'quantidade': 1, 'valor': 8500.0}, {'descricao': 'Bebidas variadas pacote evento', 'quantidade': 1, 'valor': 1200.0}, {'descricao': 'Decoração temática', 'quantidade': 1, 'valor': 950.0}, {'descricao': 'Garçom adicional diária', 'quantidade': 3, 'valor': 840.0}]",11490.0,003_k11j.pdf
Indústria Têxtil Fibras d,90123456000178,"[{'descricao': 'Tecido algodão cru metro linear', 'quantidade': 500, 'valor': 9450.0}, {'descricao': 'Linha de costura industrial cone 5000m', 'quantidade': 50, 'valor': 1200.0}, {'descricao': 'Zíper nylon 20cm cx c/100', 'quantidade': 20, 'valor': 1700.0}, {'descricao': 'Botão plástico 4 furos milheiro', 'quantidade': 10, 'valor': 1200.0}, {'descricao': 'Entretela termocolante metro', 'quantidade': 200, 'valor': 1700.0}]",15150.0,004_19u4.pdf
Padaria e Confeitaria Doce Sabor ME,88.999.000/0001-11,"[{'descricao': 'Pão francês kg', 'quantidade': 50, 'valor': 745.0}, {'descricao': 'Bolo de chocolate inteiro', 'quantidade': 10, 'valor': 650.0}, {'descricao': 'Salgado frito cento', 'quantidade': 5, 'valor': 600.0}, {'descricao': 'Café especial kg', 'quantidade': 8, 'valor': 719.2}, {'descricao': 'Torta salgada grande', 'quantidade': 6, 'valor': 510.0}]",2574.2,005_6zwp.pdf
Auto Peças Velocidade Tot,67.890.123/0001-45,"[{'descricao': 'Óleo motor 5W30 sintético 1L', 'quantidade': 24, 'valor': 45.9}, {'descricao': 'Filtro de óleo', 'quantidade': 12, 'valor': 35.0}, {'descricao': 'Pastilha de freio dianteira jogo', 'quantidade': 8, 'valor': 189.9}, {'descricao': 'Amortecedor dianteiro par', 'quantidade': 4, 'valor': 420.0}]",4658.0,006_nqsa.pdf
Limpeza Industrial HigienMax Eireli,44.555.666/0001-77,"[{'descricao': 'Detergente industrial 5L', 'quantidade': 30, 'valor': 987.0}, {'descricao': 'Desinfetante concentrado 5L', 'quantidade': 25, 'valor': 1147.5}, {'descricao': 'Papel higiênico rolão 300m fardo c/8', 'quantidade': 20, 'valor': 1360.0}, {'descricao': 'Saco de lixo 100L pct c/100', 'quantidade': 15, 'valor': 825.0}, {'descricao': 'Luva de borracha par', 'quantidade': 50, 'valor': 645.0}, {'descricao': 'Rodo alumínio 60cm', 'quantidade': 10, 'valor': 350.0}]",5157.5,007_7mav.pdf
MedSupply Equipamentos Médicos Eireli,56789012000134,"[{'descricao': 'Luva de procedimento látex cx c/100', 'quantidade': 50, 'valor': 2145.0}, {'descricao': 'Seringa descartável 10ml cx c/100', 'quantidade': 30, 'valor': 1950.0}, {'descricao': 'Álcool gel 70% 5 litros', 'quantidade': 20, 'valor': 998.0}, {'descricao': 'Máscara cirúrgica tripla cx c/50', 'quantidade': 40, 'valor': 756.0}, {'descricao': 'Estetoscópio Littmann Classic III', 'quantidade': 3, 'valor': 2067.0}, {'descricao': 'Termômetro digital infravermelho', 'quantidade': 5, 'valor': 799.5}]",8038.5,008_sl0j.pdf
Restaurante e Buffet Sabores do Brasil Ltda,78.901.234/000156,"[{'descricao': 'Serviço de buffet completo p/ 100 pessoas', 'quantidade': 1, 'valor': 8500.0}, {'descricao': 'Bebidas variadas pacote evento', 'quantidade': 1, 'valor': 1200.0}, {'descricao': 'Decoração temática', 'quantidade': 1, 'valor': 950.0}, {'descricao': 'Garçom adicional diária', 'quantidade': 3, 'valor': 840.0}]",11490.0,009_jfm4.pdf
Consultoria Empresarial Sucesso Total S.A.,22.333.444/0001-55,"[{'descricao': 'Consultoria financeira mensal', 'quantidade': 3, 'valor': 13500.0}, {'descricao': 'Análise de viabilidade econômica', 'quantidade': 1, 'valor': 8000.0}, {'descricao': 'Treinamento equipe comercial 8h', 'quantidade': 2, 'valor': 5000.0}, {'descricao': 'Elaboração plano de negócios', 'quantidade': 1, 'valor': 6500.0}]",35000.0,010_rt7s.pdf
Transportadora Carga Segura S.A.,77.888.999/0001-00,"[{'descricao': 'Frete rodoviário SP-RJ carga fechada', 'quantidade': 2, 'valor': 6400.0}, {'descricao': 'Frete rodoviário SP-BH carga fracio', 'quantidade': 5, 'valor': 4450.0}, {'descricao': 'Seguro transporte', 'quantidade': 7, 'valor': 1260.0}, {'descricao': 'Taxa de coleta', 'quantidade': 7, 'valor': 1050.0}]",13160.0,011_s3hm.pdf
Construtora Alicerce Forte Ltda,45.678.901/0001-23,"[{'descricao': 'Cimento CP II 50kg', 'quantidade': 100, 'valor': 3890.0}, {'descricao': 'Vergalhão CA-50 10mm barra 12m', 'quantidade': 50, 'valor': 4495.0}, {'descricao': 'Tijolo cerâmico 8 furos milheiro', 'quantidade': 5, 'valor': 4450.0}, {'descricao': 'Areia média m³', 'quantidade': 10, 'valor': 1450.0}, {'descricao': 'Brita 1 m³', 'quantidade': 8, 'valor': 1320.0}]",12605.0,012_t4cp.pdf
